X,Y,Z,iscell,slope,slope_p
-357,-1130,-254,True,-8.292852944185091e-08,0.9359476118332515
-385,-1130,-254,True,-2.2359430013155127e-07,0.815083550825342
-271,-1032,-254,True,-5.774144386016823e-07,0.30509249034541774
-439,-1210,-254,True,-1.5162093295144646e-06,0.2695005752179524
-355,-866,-254,True,8.50186119828792e-07,0.3288086574166025
-319,-936,-254,True,-6.105702703277562e-06,0.09097933280516154
-299,-1158,-254,True,-7.795712924044528e-08,0.8876570601846661
-283,-894,-254,True,-2.0525042283731006e-06,0.17564299633825262
-319,-1200,-254,True,-4.112633723568695e-07,0.5042600837571167
-477,-996,-254,True,-7.755366425973371e-07,0.4257045885196431
-499,-922,-254,True,-2.407409885419486e-07,0.8367453289218697
-499,-1002,-254,True,9.295546837908976e-07,0.5915511436083813
-531,-974,-254,True,1.0942549166566017e-07,0.8655789774285833
-501,-1054,-254,True,1.9091185671828486e-07,0.8148714678683031
-491,-1054,-254,True,1.4641158547410512e-07,0.8613660431835226
-561,-844,-254,True,-1.3378696639542996e-07,0.7437867260095768
-265,-920,-254,True,-1.9488528239955963e-06,0.3038276974246331
-431,-976,-254,True,5.77812171204213e-07,0.614075092612318
-423,-1064,-254,True,-1.8286011450729371e-06,0.1890065724869694
-279,-986,-254,True,-1.397668592668472e-06,0.056821639551378415
-339,-1010,-254,True,2.3555820901173716e-07,0.8114824400333959
-573,-908,-254,True,-7.525408820959498e-06,1.23410082189397e-07
-259,-954,-254,True,-2.0377282180736453e-06,0.09901313791526524
-335,-992,-254,True,5.336746502214977e-07,0.7921862715825948
-425,-916,-254,True,2.5168680593177187e-07,0.8593672629403138
-449,-816,-254,True,3.719675743940768e-07,0.5285146573726145
-495,-1026,-254,True,-6.502710146603982e-07,0.5997652388584589
-413,-834,-254,True,1.954407757745371e-06,0.19166374828545038
-379,-1018,-254,True,-1.6943001570877494e-07,0.9234136161735198
-233,-852,-254,True,-1.6353631192119626e-06,0.01017235514205718
-475,-1044,-254,True,-1.3415734182449995e-06,0.4260482201513842
-501,-1120,-254,True,1.7762594217994993e-07,0.871712255793734
-409,-1174,-254,True,5.630918054224229e-07,0.49585560513812066
-227,-980,-254,True,-1.1680007284125704e-06,0.33095593472517104
-465,-1202,-254,True,-2.3566383220568677e-07,0.7879276033197182
-519,-980,-254,True,1.332244176897705e-07,0.7534196567440842
-355,-1062,-254,True,1.2496068665670439e-06,0.08898034259955268
-597,-808,-254,True,-1.1078356650226574e-07,0.8273588110439888
-521,-810,-254,True,1.5466022478715005e-07,0.8023265567969728
-313,-1084,-254,True,-4.088641682189609e-08,0.9693203261903345
-397,-916,-254,True,-2.246942806699359e-07,0.8171318848433897
-317,-962,-254,True,-7.241459493553229e-07,0.417104520570741
-269,-1040,-254,True,2.9468760396687825e-07,0.7836601698774001
-503,-1172,-254,True,2.368332246286371e-07,0.7644532152782881
-541,-1068,-254,True,-2.7077451751240075e-08,0.9763022905912757
-363,-1142,-254,True,-1.5185621492343331e-06,0.2082579232162393
-295,-802,-254,True,5.907758685748357e-07,0.15622176752223577
-535,-1106,-254,True,8.812120677384444e-07,0.20140242631473904
